S.No,Question Name,Difficulty,LeetCode Link
400,Count Substrings Divisible By Last Digit,Hard,https://leetcode.com/problems/count-substrings-divisible-by-last-digit/
401,Books with NULL Ratings,Easy,https://leetcode.com/problems/books-with-null-ratings/
402,Minimum Total Operations,Easy,https://leetcode.com/problems/minimum-total-operations/
403,Minimum Time to Break Locks II,Hard,https://leetcode.com/problems/minimum-time-to-break-locks-ii/
404,Shortest Matching Substring,Hard,https://leetcode.com/problems/shortest-matching-substring/
405,Minimum Operations to Make Columns Strictly Increasing,Easy,https://leetcode.com/problems/minimum-operations-to-make-columns-strictly-increasing/
406,Smallest Substring With Identical Characters I,Hard,https://leetcode.com/problems/smallest-substring-with-identical-characters-i/
407,Maximum Area Rectangle With Point Constraints II,Hard,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-ii/
408,Maximize Subarray Sum After Removing All Occurrences of One Element,Hard,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/
409,Longest Special Path,Hard,https://leetcode.com/problems/longest-special-path/
410,Count Beautiful Splits in an Array,Medium,https://leetcode.com/problems/count-beautiful-splits-in-an-array/
411,Count Subarrays of Length Three With a Condition,Easy,https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition/
412,Substring Matching Pattern,Easy,https://leetcode.com/problems/substring-matching-pattern/
413,Find the Lexicographically Largest String From the Box I,Medium,https://leetcode.com/problems/find-the-lexicographically-largest-string-from-the-box-i/
414,Count the Number of Arrays with K Matching Adjacent Elements,Hard,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements/
415,Maximum Area Rectangle With Point Constraints I,Medium,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-i/
416,Count Connected Components in LCM Graph,Hard,https://leetcode.com/problems/count-connected-components-in-lcm-graph/
417,Maximum Sized Array,Medium,https://leetcode.com/problems/maximum-sized-array/
418,Design Task Manager,Medium,https://leetcode.com/problems/design-task-manager/
419,Maximum Amount of Money Robot Can Earn,Medium,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn/
420,Smallest Number With All Set Bits,Easy,https://leetcode.com/problems/smallest-number-with-all-set-bits/
421,Maximize Sum of Weights after Edge Removals,Hard,https://leetcode.com/problems/maximize-sum-of-weights-after-edge-removals/
422,Count Non-Decreasing Subarrays After K Operations,Hard,https://leetcode.com/problems/count-non-decreasing-subarrays-after-k-operations/
423,Second Highest Salary II,Medium,https://leetcode.com/problems/second-highest-salary-ii/
424,Count Paths With the Given XOR Value,Medium,https://leetcode.com/problems/count-paths-with-the-given-xor-value/
425,Minimize the Maximum Adjacent Element Difference,Hard,https://leetcode.com/problems/minimize-the-maximum-adjacent-element-difference/
426,Check if Grid can be Cut into Sections,Medium,https://leetcode.com/problems/check-if-grid-can-be-cut-into-sections/
427,Minimum Number of Operations to Make Elements in Array Distinct,Easy,https://leetcode.com/problems/minimum-number-of-operations-to-make-elements-in-array-distinct/
428,Digit Operations to Make Two Integers Equal,Medium,https://leetcode.com/problems/digit-operations-to-make-two-integers-equal/
429,Minimum Array Sum,Medium,https://leetcode.com/problems/minimum-array-sum/
430,Maximum Subarray Sum With Length Divisible by K,Medium,https://leetcode.com/problems/maximum-subarray-sum-with-length-divisible-by-k/
431,Find Sorted Submatrices With Maximum Element at Most K,Hard,https://leetcode.com/problems/find-sorted-submatrices-with-maximum-element-at-most-k/
432,Transformed Array,Easy,https://leetcode.com/problems/transformed-array/
433,Find Cities in Each State II,Medium,https://leetcode.com/problems/find-cities-in-each-state-ii/
434,Minimum Time to Break Locks I,Medium,https://leetcode.com/problems/minimum-time-to-break-locks-i/
435,Find the Maximum Number of Fruits Collected,Hard,https://leetcode.com/problems/find-the-maximum-number-of-fruits-collected/
436,Zero Array Transformation III,Medium,https://leetcode.com/problems/zero-array-transformation-iii/
437,Sum of Good Subsequences,Hard,https://leetcode.com/problems/sum-of-good-subsequences/
438,Maximize the Number of Target Nodes After Connecting Trees II,Hard,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-ii/
439,Minimum Positive Sum Subarray ,Easy,https://leetcode.com/problems/minimum-positive-sum-subarray/
440,Zero Array Transformation II,Medium,https://leetcode.com/problems/zero-array-transformation-ii/
441,Premier League Table Ranking III,Medium,https://leetcode.com/problems/premier-league-table-ranking-iii/
442,Maximum Frequency of an Element After Performing Operations II,Hard,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-ii/
443,Zero Array Transformation I,Medium,https://leetcode.com/problems/zero-array-transformation-i/
444,Minimum Operations to Make Character Frequencies Equal,Hard,https://leetcode.com/problems/minimum-operations-to-make-character-frequencies-equal/
445,Count Number of Balanced Permutations,Hard,https://leetcode.com/problems/count-number-of-balanced-permutations/
446,Check Balanced String,Easy,https://leetcode.com/problems/check-balanced-string/
447,Smallest Divisible Digit Product II,Hard,https://leetcode.com/problems/smallest-divisible-digit-product-ii/
448,Find Mirror Score of a String,Medium,https://leetcode.com/problems/find-mirror-score-of-a-string/
449,Maximize the Number of Target Nodes After Connecting Trees I,Medium,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-i/
450,Button with Longest Push Time,Easy,https://leetcode.com/problems/button-with-longest-push-time/
451,Count K-Reducible Numbers Less Than N,Hard,https://leetcode.com/problems/count-k-reducible-numbers-less-than-n/
452,Total Characters in String After Transformations II,Hard,https://leetcode.com/problems/total-characters-in-string-after-transformations-ii/
453,Total Characters in String After Transformations I,Medium,https://leetcode.com/problems/total-characters-in-string-after-transformations-i/
454,Find Minimum Time to Reach Last Room II,Medium,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-ii/
455,Find Minimum Time to Reach Last Room I,Medium,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-i/
456,Smallest Divisible Digit Product I,Easy,https://leetcode.com/problems/smallest-divisible-digit-product-i/
457,Stone Removal Game,Easy,https://leetcode.com/problems/stone-removal-game/
458,Find Top Performing Driver,Medium,https://leetcode.com/problems/find-top-performing-driver/
459,Sum of Consecutive Subsequences,Hard,https://leetcode.com/problems/sum-of-consecutive-subsequences/
460,Maximum Frequency of an Element After Performing Operations I,Medium,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-i/
461,Minimum Operations to Make Array Values Equal to K,Easy,https://leetcode.com/problems/minimum-operations-to-make-array-values-equal-to-k/
462,Maximum Number of Distinct Elements After Operations,Medium,https://leetcode.com/problems/maximum-number-of-distinct-elements-after-operations/
463,Adjacent Increasing Subarrays Detection II,Medium,https://leetcode.com/problems/adjacent-increasing-subarrays-detection-ii/
464,Find the Original Typed String II,Hard,https://leetcode.com/problems/find-the-original-typed-string-ii/
465,Find the Original Typed String I,Easy,https://leetcode.com/problems/find-the-original-typed-string-i/
466,Make Array Elements Equal to Zero,Easy,https://leetcode.com/problems/make-array-elements-equal-to-zero/
467,Convert Doubly Linked List to Array II,Medium,https://leetcode.com/problems/convert-doubly-linked-list-to-array-ii/
468,Find the Number of K-Even Arrays,Medium,https://leetcode.com/problems/find-the-number-of-k-even-arrays/
469,Maximize Amount After Two Days of Conversions,Medium,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions/
470,Adjacent Increasing Subarrays Detection I,Easy,https://leetcode.com/problems/adjacent-increasing-subarrays-detection-i/
471,Construct the Minimum Bitwise Array II,Medium,https://leetcode.com/problems/construct-the-minimum-bitwise-array-ii/
472,Find X-Sum of All K-Long Subarrays I,Easy,https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-i/
473,Calculate Product Final Price,Medium,https://leetcode.com/problems/calculate-product-final-price/
474,Find the Number of Subsequences With Equal GCD,Hard,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd/
475,Minimum Division Operations to Make Array Non Decreasing,Medium,https://leetcode.com/problems/minimum-division-operations-to-make-array-non-decreasing/
476,Minimum Element After Replacement With Digit Sum,Easy,https://leetcode.com/problems/minimum-element-after-replacement-with-digit-sum/
477,Construct the Minimum Bitwise Array I,Easy,https://leetcode.com/problems/construct-the-minimum-bitwise-array-i/
478,Find the Number of Possible Ways for an Event,Hard,https://leetcode.com/problems/find-the-number-of-possible-ways-for-an-event/
479,Check if DFS Strings Are Palindromes,Hard,https://leetcode.com/problems/check-if-dfs-strings-are-palindromes/
480,Sum of Consecutive Subarrays,Medium,https://leetcode.com/problems/sum-of-consecutive-subarrays/
481,Find the K-th Character in String Game II,Hard,https://leetcode.com/problems/find-the-k-th-character-in-string-game-ii/
482,Find the K-th Character in String Game I,Easy,https://leetcode.com/problems/find-the-k-th-character-in-string-game-i/
483,Rearrange K Substrings to Form Target String,Medium,https://leetcode.com/problems/rearrange-k-substrings-to-form-target-string/
484,Identify the Largest Outlier in an Array,Medium,https://leetcode.com/problems/identify-the-largest-outlier-in-an-array/
485,Find the Maximum Factor Score of Array,Medium,https://leetcode.com/problems/find-the-maximum-factor-score-of-array/
486,Find X-Sum of All K-Long Subarrays II,Hard,https://leetcode.com/problems/find-x-sum-of-all-k-long-subarrays-ii/
487,Shift Distance Between Two Strings,Medium,https://leetcode.com/problems/shift-distance-between-two-strings/
488,Maximum Total Area Occupied by Pistons,Hard,https://leetcode.com/problems/maximum-total-area-occupied-by-pistons/
489,Find Candidates for Data Scientist Position II,Medium,https://leetcode.com/problems/find-candidates-for-data-scientist-position-ii/
490,Count The Number of Winning Sequences,Hard,https://leetcode.com/problems/count-the-number-of-winning-sequences/
491,Maximum Points Tourist Can Earn,Medium,https://leetcode.com/problems/maximum-points-tourist-can-earn/
492,Constructing Two Increasing Arrays,Hard,https://leetcode.com/problems/constructing-two-increasing-arrays/
493,Find Overlapping Shifts II,Hard,https://leetcode.com/problems/find-overlapping-shifts-ii/
494,Find the Lexicographically Smallest Valid Sequence,Medium,https://leetcode.com/problems/find-the-lexicographically-smallest-valid-sequence/
495,Sorted GCD Pair Queries,Hard,https://leetcode.com/problems/sorted-gcd-pair-queries/
496,Find Indices of Stable Mountains,Easy,https://leetcode.com/problems/find-indices-of-stable-mountains/
497,The Two Sneaky Numbers of Digitville,Easy,https://leetcode.com/problems/the-two-sneaky-numbers-of-digitville/
498,Find the Occurrence of First Almost Equal Substring,Hard,https://leetcode.com/problems/find-the-occurrence-of-first-almost-equal-substring/
499,Maximum Possible Number by Binary Concatenation,Medium,https://leetcode.com/problems/maximum-possible-number-by-binary-concatenation/
500,Construct 2D Grid Matching Graph Layout,Hard,https://leetcode.com/problems/construct-2d-grid-matching-graph-layout/
501,Convert Doubly Linked List to Array I,Easy,https://leetcode.com/problems/convert-doubly-linked-list-to-array-i/
502,Find Subtree Sizes After Changes,Medium,https://leetcode.com/problems/find-subtree-sizes-after-changes/
503,Find the Maximum Sequence Value of Array,Hard,https://leetcode.com/problems/find-the-maximum-sequence-value-of-array/
504,Find Overlapping Shifts,Medium,https://leetcode.com/problems/find-overlapping-shifts/
505,Count Substrings That Can Be Rearranged to Contain a String I,Medium,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-i/
506,Count Substrings That Can Be Rearranged to Contain a String II,Hard,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-ii/
507,Length of the Longest Increasing Path,Hard,https://leetcode.com/problems/length-of-the-longest-increasing-path/
508,Count of Substrings Containing Every Vowel and K Consonants I,Medium,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-i/
509,Count of Substrings Containing Every Vowel and K Consonants II,Medium,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-ii/
510,Find the Key of the Numbers,Easy,https://leetcode.com/problems/find-the-key-of-the-numbers/
511,Convert Date to Binary,Easy,https://leetcode.com/problems/convert-date-to-binary/
512,Find the Sequence of Strings Appeared on the Screen,Medium,https://leetcode.com/problems/find-the-sequence-of-strings-appeared-on-the-screen/
513,Minimize Connected Groups by Inserting Interval,Medium,https://leetcode.com/problems/minimize-connected-groups-by-inserting-interval/
514,Premier League Table Ranking II,Medium,https://leetcode.com/problems/premier-league-table-ranking-ii/
515,Select Cells in Grid With Maximum Score,Hard,https://leetcode.com/problems/select-cells-in-grid-with-maximum-score/
516,Maximum Score of Non-overlapping Intervals,Hard,https://leetcode.com/problems/maximum-score-of-non-overlapping-intervals/
517,Remove Methods From Project,Medium,https://leetcode.com/problems/remove-methods-from-project/
518,Maximum Number of Moves to Kill All Pawns,Hard,https://leetcode.com/problems/maximum-number-of-moves-to-kill-all-pawns/
519,Minimum Number of Valid Strings to Form Target I,Medium,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-i/
520,Find a Safe Walk Through a Grid,Medium,https://leetcode.com/problems/find-a-safe-walk-through-a-grid/
521,Minimum Number of Valid Strings to Form Target II,Hard,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-ii/
522,Final Array State After K Multiplication Operations II,Hard,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-ii/
523,Final Array State After K Multiplication Operations I,Easy,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-i/
524,Premier League Table Ranking,Easy,https://leetcode.com/problems/premier-league-table-ranking/
525,Check if Two Chessboard Squares Have the Same Color,Easy,https://leetcode.com/problems/check-if-two-chessboard-squares-have-the-same-color/
526,Find the Largest Palindrome Divisible by K,Hard,https://leetcode.com/problems/find-the-largest-palindrome-divisible-by-k/
527,Maximum XOR Score Subarray Queries,Hard,https://leetcode.com/problems/maximum-xor-score-subarray-queries/
528,Maximum Value Sum by Placing Three Rooks I,Hard,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-i/
529,CEO Subordinate Hierarchy,Hard,https://leetcode.com/problems/ceo-subordinate-hierarchy/
530,Find the Count of Good Integers,Hard,https://leetcode.com/problems/find-the-count-of-good-integers/
531,Count Substrings That Satisfy K-Constraint II,Hard,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-ii/
532,Minimum Number of Increasing Subsequence to Be Removed,Hard,https://leetcode.com/problems/minimum-number-of-increasing-subsequence-to-be-removed/
533,Count Almost Equal Pairs II,Hard,https://leetcode.com/problems/count-almost-equal-pairs-ii/
534,Count Substrings That Satisfy K-Constraint I,Easy,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-i/
535,Maximum Value Sum by Placing Three Rooks II,Hard,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-ii/
536,Report Spam Message,Medium,https://leetcode.com/problems/report-spam-message/
537,Hash Divided String,Medium,https://leetcode.com/problems/hash-divided-string/
538,Customer Purchasing Behavior Analysis,Medium,https://leetcode.com/problems/customer-purchasing-behavior-analysis/
539,Alt and Tab Simulation,Medium,https://leetcode.com/problems/alt-and-tab-simulation/
540,Number of Subsequences with Odd Sum,Medium,https://leetcode.com/problems/number-of-subsequences-with-odd-sum/
541,Find the Count of Monotonic Pairs II,Hard,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii/
542,Find the Count of Monotonic Pairs I,Hard,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i/
543,Count Almost Equal Pairs I,Medium,https://leetcode.com/problems/count-almost-equal-pairs-i/
544,Snake in Matrix,Easy,https://leetcode.com/problems/snake-in-matrix/
545,Time Taken to Mark All Nodes,Hard,https://leetcode.com/problems/time-taken-to-mark-all-nodes/
546,Minimum Amount of Damage Dealt to Bob,Hard,https://leetcode.com/problems/minimum-amount-of-damage-dealt-to-bob/
547,Odd and Even Transactions,Medium,https://leetcode.com/problems/odd-and-even-transactions/
548,Maximum Array Hopping Score II,Medium,https://leetcode.com/problems/maximum-array-hopping-score-ii/
549,Reach End of Array With Max Score,Medium,https://leetcode.com/problems/reach-end-of-array-with-max-score/
550,Alternating Groups III,Hard,https://leetcode.com/problems/alternating-groups-iii/
551,Minimum Number of Flips to Make Binary Grid Palindromic I,Medium,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-i/
552,Maximum Energy Boost From Two Drinks,Medium,https://leetcode.com/problems/maximum-energy-boost-from-two-drinks/
553,Minimum Number of Flips to Make Binary Grid Palindromic II,Medium,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-ii/
554,Find the Power of K-Size Subarrays II,Medium,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-ii/
555,Find the Power of K-Size Subarrays I,Medium,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-i/
556,Count Triplets with Even XOR Set Bits II,Medium,https://leetcode.com/problems/count-triplets-with-even-xor-set-bits-ii/
557,Year on Year Growth Rate,Hard,https://leetcode.com/problems/year-on-year-growth-rate/
558,Find the Number of Winning Players,Easy,https://leetcode.com/problems/find-the-number-of-winning-players/
559,Maximum Multiplication Score,Medium,https://leetcode.com/problems/maximum-multiplication-score/
560,Shortest Distance After Road Addition Queries I,Medium,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-i/
561,Design Neighbor Sum Service,Easy,https://leetcode.com/problems/design-neighbor-sum-service/
562,Find if Digit Game Can Be Won,Easy,https://leetcode.com/problems/find-if-digit-game-can-be-won/
563,Shortest Distance After Road Addition Queries II,Hard,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-ii/
564,Maximum Array Hopping Score I,Medium,https://leetcode.com/problems/maximum-array-hopping-score-i/
565,Bitwise User Permissions Analysis,Medium,https://leetcode.com/problems/bitwise-user-permissions-analysis/
566,Find the Winning Player in Coin Game,Easy,https://leetcode.com/problems/find-the-winning-player-in-coin-game/
567,Maximize the Total Height of Unique Towers,Medium,https://leetcode.com/problems/maximize-the-total-height-of-unique-towers/
568,K-th Largest Perfect Subtree Size in Binary Tree,Medium,https://leetcode.com/problems/k-th-largest-perfect-subtree-size-in-binary-tree/
569,Number of Bit Changes to Make Two Integers Equal,Easy,https://leetcode.com/problems/number-of-bit-changes-to-make-two-integers-equal/
570,Find the Count of Numbers Which Are Not Special,Medium,https://leetcode.com/problems/find-the-count-of-numbers-which-are-not-special/
571,Count Triplets with Even XOR Set Bits I,Easy,https://leetcode.com/problems/count-triplets-with-even-xor-set-bits-i/
572,Find Cities in Each State,Easy,https://leetcode.com/problems/find-cities-in-each-state/
573,Minimum Moves to Get a Peaceful Board,Medium,https://leetcode.com/problems/minimum-moves-to-get-a-peaceful-board/
574,Find Top Scoring Students II,Hard,https://leetcode.com/problems/find-top-scoring-students-ii/
575,Count Substrings With K-Frequency Characters I,Medium,https://leetcode.com/problems/count-substrings-with-k-frequency-characters-i/
576,Delete Nodes From Linked List Present in Array,Medium,https://leetcode.com/problems/delete-nodes-from-linked-list-present-in-array/
577,Minimum Cost for Cutting Cake II,Hard,https://leetcode.com/problems/minimum-cost-for-cutting-cake-ii/
578,Count Substrings With K-Frequency Characters II,Hard,https://leetcode.com/problems/count-substrings-with-k-frequency-characters-ii/
579,Minimum Array Changes to Make Differences Equal,Medium,https://leetcode.com/problems/minimum-array-changes-to-make-differences-equal/
580,Find the Last Marked Nodes in Tree,Hard,https://leetcode.com/problems/find-the-last-marked-nodes-in-tree/
581,Minimum Number of Seconds to Make Mountain Height Zero,Medium,https://leetcode.com/problems/minimum-number-of-seconds-to-make-mountain-height-zero/
582,K-th Nearest Obstacle Queries,Medium,https://leetcode.com/problems/k-th-nearest-obstacle-queries/
583,Minimum Cost for Cutting Cake I,Medium,https://leetcode.com/problems/minimum-cost-for-cutting-cake-i/
584,Maximum Number of Operations to Move Ones to the End,Medium,https://leetcode.com/problems/maximum-number-of-operations-to-move-ones-to-the-end/
585,Count Submatrices With Equal Frequency of X and Y,Medium,https://leetcode.com/problems/count-submatrices-with-equal-frequency-of-x-and-y/
586,Find the Maximum Length of Valid Subsequence II,Medium,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-ii/
587,Find the Maximum Length of Valid Subsequence I,Medium,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-i/
588,The Number of Ways to Make the Sum,Medium,https://leetcode.com/problems/the-number-of-ways-to-make-the-sum/
589,Find Top Scoring Students,Medium,https://leetcode.com/problems/find-top-scoring-students/
590,Find Maximum Removals From Source String,Medium,https://leetcode.com/problems/find-maximum-removals-from-source-string/
591,Count the Number of Good Nodes,Medium,https://leetcode.com/problems/count-the-number-of-good-nodes/
592,Maximize Score of Numbers in Ranges,Medium,https://leetcode.com/problems/maximize-score-of-numbers-in-ranges/
593,Lexicographically Smallest String After a Swap,Easy,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap/
594,Alternating Groups II,Medium,https://leetcode.com/problems/alternating-groups-ii/
595,Construct String with Minimum Cost,Hard,https://leetcode.com/problems/construct-string-with-minimum-cost/
596,Second Day Verification,Easy,https://leetcode.com/problems/second-day-verification/
597,Construct String with Minimum Cost (Easy),Medium,https://leetcode.com/problems/construct-string-with-minimum-cost-easy/
598,Count the Number of Substrings With Dominant Ones,Medium,https://leetcode.com/problems/count-the-number-of-substrings-with-dominant-ones/
599,Check if the Rectangle Corner Is Reachable,Hard,https://leetcode.com/problems/check-if-the-rectangle-corner-is-reachable/
600,Minimum Operations to Make Binary Array Elements Equal to One II,Medium,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-ii/
601,Find Minimum Operations to Make All Elements Divisible by Three,Easy,https://leetcode.com/problems/find-minimum-operations-to-make-all-elements-divisible-by-three/
602,Minimum Operations to Make Binary Array Elements Equal to One I,Medium,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-i/
603,Better Compression of String,Medium,https://leetcode.com/problems/better-compression-of-string/
604,Calculate Parking Fees and Duration,Medium,https://leetcode.com/problems/calculate-parking-fees-and-duration/
605,Bitwise OR of Adjacent Elements,Easy,https://leetcode.com/problems/bitwise-or-of-adjacent-elements/
606,Minimum Average of Smallest and Largest Elements,Easy,https://leetcode.com/problems/minimum-average-of-smallest-and-largest-elements/
607,Maximum Score From Grid Operations,Hard,https://leetcode.com/problems/maximum-score-from-grid-operations/
608,Maximum Height of a Triangle,Easy,https://leetcode.com/problems/maximum-height-of-a-triangle/
609,Find the Encrypted String,Easy,https://leetcode.com/problems/find-the-encrypted-string/
610,Find the Level of Tree with Minimum Sum,Medium,https://leetcode.com/problems/find-the-level-of-tree-with-minimum-sum/
611,Number of Subarrays With AND Value of K,Hard,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k/
612,Employee Task Duration and Concurrent Tasks,Hard,https://leetcode.com/problems/employee-task-duration-and-concurrent-tasks/
613,Maximize Total Cost of Alternating Subarrays,Medium,https://leetcode.com/problems/maximize-total-cost-of-alternating-subarrays/
614,Alternating Groups I,Easy,https://leetcode.com/problems/alternating-groups-i/
615,Vowels Game in a String,Medium,https://leetcode.com/problems/vowels-game-in-a-string/
616,Find the Minimum Area to Cover All Ones I,Medium,https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-i/
617,Count the Number of Inversions,Hard,https://leetcode.com/problems/count-the-number-of-inversions/
618,Find the Minimum Area to Cover All Ones II,Hard,https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-ii/
619,Maximum Number of Upgradable Servers,Medium,https://leetcode.com/problems/maximum-number-of-upgradable-servers/
620,Invalid Tweets II,Easy,https://leetcode.com/problems/invalid-tweets-ii/
621,Find the Maximum Length of a Good Subsequence I,Medium,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i/
622,Minimum Length of String After Operations,Medium,https://leetcode.com/problems/minimum-length-of-string-after-operations/
623,Minimum Operations to Make Array Equal to Target,Hard,https://leetcode.com/problems/minimum-operations-to-make-array-equal-to-target/
624,Generate Binary Strings Without Adjacent Zeros,Medium,https://leetcode.com/problems/generate-binary-strings-without-adjacent-zeros/
625,Find the Maximum Length of a Good Subsequence II,Hard,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii/
626,String Compression III,Medium,https://leetcode.com/problems/string-compression-iii/
627,Find the Child Who Has the Ball After K Seconds,Easy,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds/
628,Maximum Hamming Distances,Hard,https://leetcode.com/problems/maximum-hamming-distances/
629,Consecutive Available Seats II,Medium,https://leetcode.com/problems/consecutive-available-seats-ii/
630,Clear Digits,Easy,https://leetcode.com/problems/clear-digits/
631,Find the Number of Good Pairs I,Easy,https://leetcode.com/problems/find-the-number-of-good-pairs-i/
632,Lexicographically Minimum String After Removing Stars,Medium,https://leetcode.com/problems/lexicographically-minimum-string-after-removing-stars/
633,Find the Number of Good Pairs II,Medium,https://leetcode.com/problems/find-the-number-of-good-pairs-ii/
634,Maximum Total Reward Using Operations II,Hard,https://leetcode.com/problems/maximum-total-reward-using-operations-ii/
635,Maximum Total Reward Using Operations I,Medium,https://leetcode.com/problems/maximum-total-reward-using-operations-i/
636,Equalize Strings by Adding or Removing Characters at Ends,Medium,https://leetcode.com/problems/equalize-strings-by-adding-or-removing-characters-at-ends/
637,Server Utilization Time,Medium,https://leetcode.com/problems/server-utilization-time/
638,Find Minimum Diameter After Merging Two Trees,Hard,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees/
639,Peaks in Array,Hard,https://leetcode.com/problems/peaks-in-array/
640,Maximum Total Damage With Spell Casting,Medium,https://leetcode.com/problems/maximum-total-damage-with-spell-casting/
641,Find Subarray With Bitwise OR Closest to K,Hard,https://leetcode.com/problems/find-subarray-with-bitwise-or-closest-to-k/
642,Block Placement Queries,Hard,https://leetcode.com/problems/block-placement-queries/
643,Find the Number of Distinct Colors Among the Balls,Medium,https://leetcode.com/problems/find-the-number-of-distinct-colors-among-the-balls/
644,Maximum Number That Makes Result of Bitwise AND Zero,Medium,https://leetcode.com/problems/maximum-number-that-makes-result-of-bitwise-and-zero/
645,Find Longest Calls,Medium,https://leetcode.com/problems/find-longest-calls/
646,Find the Minimum Cost Array Permutation,Hard,https://leetcode.com/problems/find-the-minimum-cost-array-permutation/
647,Count Days Without Meetings,Medium,https://leetcode.com/problems/count-days-without-meetings/
648,Special Array I,Easy,https://leetcode.com/problems/special-array-i/
649,Find the XOR of Numbers Which Appear Twice,Easy,https://leetcode.com/problems/find-the-xor-of-numbers-which-appear-twice/
650,Special Array II,Medium,https://leetcode.com/problems/special-array-ii/
651,Minimum Number of Chairs in a Waiting Room,Easy,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room/
652,Maximum Number of Potholes That Can Be Fixed,Medium,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed/
653,Friday Purchase III ,Medium,https://leetcode.com/problems/friday-purchase-iii/
654,Maximum Sum of Subsequence With Non-adjacent Elements,Hard,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements/
655,Find the N-th Value After K Seconds,Medium,https://leetcode.com/problems/find-the-n-th-value-after-k-seconds/
656,Count Pairs That Form a Complete Day I,Easy,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-i/
657,Find Occurrences of an Element in an Array,Medium,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array/
658,Maximum Points Inside the Square,Medium,https://leetcode.com/problems/maximum-points-inside-the-square/
659,Count Pairs That Form a Complete Day II,Medium,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-ii/
660,Find the Index of Permutation,Medium,https://leetcode.com/problems/find-the-index-of-permutation/
661,Sum of Digit Differences of All Pairs,Medium,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs/
662,Check if Grid Satisfies Conditions,Easy,https://leetcode.com/problems/check-if-grid-satisfies-conditions/
663,Find Number of Ways to Reach the K-th Stair,Hard,https://leetcode.com/problems/find-number-of-ways-to-reach-the-k-th-stair/
664,Find The First Player to win K Games in a Row,Medium,https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row/
665,Permutation Difference between Two Strings,Easy,https://leetcode.com/problems/permutation-difference-between-two-strings/
